CountryCode,Latitude,Longitude,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,
AD,42.5,1.516667,5877.20465063,5855.35082837,5873.35956893,5921.23113641,5876.93939506,5331.75848484,5454.86202124,5404.98851401,4333.78211553,4506.23358602,3981.36321412,3984.67198785,3849.96679564,5182.88249581,4635.30295693,4288.05244249,4186.37893008,4889.80495987,4699.70258564,3908.68020772,884.046323491,627.002102253,623.560926654,480.68909797,776.043005823,561.278358779,794.835177939,441.039733315,627.096620249,830.347070311,432.509569553,1841.84318811,5497.90073866,6424.84509618,6244.92360496,5438.55190818,2270.19071386,4049.49715373,10279.4459633,4989.9666811,
AE,24.46667,54.36667,8156.72435797,8137.15019565,8159.54903767,8364.72485913,8154.17543609,7452.56889532,7597.62316193,7587.50017029,7253.51519778,7587.10510199,7058.38438732,7059.20918894,1537.40593219,8186.34560912,7826.65396037,7368.65054001,1657.62549444,7795.54202044,7511.57749476,6890.84583164,2880.34789528,3004.50582032,2836.22579082,2953.49814733,3160.90745865,3211.21334387,3156.13142191,3255.71153731,3400.59774305,3676.92999387,2889.94177776,2321.8646097,7527.48836512,5004.10816923,3766.17024259,3703.89091547,3950.52655962,2893.24106761,7243.28758861,8045.85251768,
AF,34.51667,69.18333,7416.15106093,7399.44248282,7421.43490875,7674.92849616,7412.91940596,6717.7541245,6857.27296469,6863.41572012,6961.35552335,7418.88028367,6927.81889337,6925.84180014,413.882842995,7882.90412298,7813.87436173,7217.63330707,631.681234595,7442.48939177,7116.15979355,6682.16484934,2970.26579284,3176.48679512,3056.23501922,3200.78451832,3254.10620015,3382.12926603,3242.48279541,3469.03337976,3547.27024389,3777.58453081,3188.17167998,2092.73834591,8549.22958734,3894.28989277,2836.88034137,2593.41501798,4873.81227995,4004.34711391,6695.77831173,8592.28936211,
AG,17.11667,-61.85,3885.77881057,3875.73537401,3874.82706687,3656.08343797,3889.0359428,3984.51052775,3977.30853328,3906.6204234,2290.78199492,1808.67142577,1774.35978225,1783.80723058,7805.58573261,2286.59007465,1321.49320653,1772.0089362,8156.75262749,2434.88435886,2614.96580755,2103.484552,4667.64745909,4458.43163561,4584.01690774,4442.65152723,4387.26809946,4252.66697103,4399.97704352,4167.01506283,4089.76803908,3872.40981434,4469.05953961,5603.05491464,2991.59972774,8525.82263763,9701.62379871,8494.52935071,3903.71364581,6541.36508147,10317.8119391,1081.82483955,
AI,18.21667,-63.05,3777.89529286,3767.73693426,3766.96062868,3549.76851037,3781.1372311,3874.9515743,3867.68944422,3796.99746592,2182.73155129,1699.04942809,1669.97896803,1679.37502995,7788.99149899,2181.11246377,1215.41893864,1663.21844288,8140.41218375,2325.60289294,2505.46441048,2001.09743746,4659.61553092,4455.26976803,4585.1016568,4445.3122316,4377.33128932,4248.26972215,4389.58246766,4165.8120089,4082.23156498,3858.82586877,4475.75490268,5584.47113859,3090.92250764,8426.30092555,9632.58722704,8420.00446354,3981.88409064,6631.08353133,10268.4356455,1138.16015362,
AL,41.31667,19.81667,6490.52919218,6468.54365228,6488.65931454,6588.19138378,6489.52552353,5870.40736045,6006.21688294,5967.48001456,5127.49797319,5366.27493082,4835.5564586,4837.80842366,2975.20568606,6019.41869407,5544.74228111,5146.27338392,3298.66526549,5686.84416629,5458.9777442,4721.56080193,830.464394148,809.526761716,620.436508115,695.04765089,1026.97945652,986.671732713,1031.76108084,995.146133457,1176.16652082,1463.99055314,605.314897449,1279.73073346,6173.64002275,5896.1587189,5431.44897154,4769.98012226,2604.19570786,3604.3829491,9390.39818798,5910.10751243,
AM,40.16667,44.5,7011.12397852,6990.50162497,7012.64471628,7192.23130089,7008.97618828,6318.39212592,6463.47432191,6444.93876736,6028.6826964,6378.74070935,5853.81397016,5854.07314818,1708.20197622,6963.24499582,6660.13494073,6162.08660981,2018.19169614,6569.33726897,6286.14042996,5672.37851009,1692.89129399,1854.25028539,1707.69829989,1843.37858177,1980.0556605,2064.45271054,1972.70628917,2131.62266146,2245.87049565,2507.32067203,1811.69406058,1121.47790099,7307.1514311,4928.23212477,4190.48348187,3690.009847,3617.87723582,3588.20795018,8100.31482931,7198.04378143,
AO,-8.83333,13.21667,9026.24518558,9008.27067062,9017.81184209,8906.95811584,9027.96432599,8711.58186235,8799.35884836,8733.42878568,7184.62938589,6991.60626271,6631.23515317,6639.46009215,5136.87116676,7632.40937545,6694.37221179,6839.66386165,5248.27437823,7608.75753662,7608.94957991,6769.28240341,4238.88898001,4082.20706684,3937.30486287,3893.60725505,4305.01352971,4133.78765611,4319.55418377,4040.35929894,4244.37201482,4445.92645098,3760.13035587,4677.31768903,4070.55025438,8603.11320134,7145.39668308,7305.50187528,1759.37008035,1146.69474604,8705.62520392,5504.31403454,
AQ,0,0,7943.02279726,7925.70316393,7934.23217783,7813.7299983,7944.92523679,7678.7322229,7754.3998693,7685.86647607,6099.2271861,5896.28845752,5540.7272346,5549.08745018,5445.96025411,6540.36608843,5609.77281107,5744.99298973,5641.73441022,6514.28604644,6522.66768964,5690.3567173,3710.35391704,3500.4967907,3397.16499534,3313.0377507,3696.25303185,3493.51765548,3713.71460393,3378.58165909,3558.81145978,3703.51017263,3191.06098019,4389.16612653,3522.97709886,8862.39338975,7757.01875719,7595.23281289,743.635350545,2174.70884589,9791.22158772,4561.23302728,
AR,-34.5833,-58.6667,6424.0518845,6428.45045442,6413.74738872,6109.32199722,6428.18374615,6906.71001275,6823.44700459,6773.29569033,5591.09376142,5006.83668397,5219.49346316,5227.49220307,9911.57543901,5048.35362771,4402.52134771,5088.51574675,10079.3816107,5436.66585487,5747.05161562,5564.1088919,7408.04818358,7146.28723953,7165.10287572,7022.1916413,7210.79752278,7001.56343632,7229.41301242,6874.48633704,6922.0356866,6836.69517468,6962.72101767,8382.73116089,1051.49580222,11398.6518299,11482.5493442,11978.8175,4716.52622939,5752.45044812,7911.75478851,2572.03151136,
