CountryCode,NumberVideos
TOTAL_VIDEOS,56
AFRICA,55
ASIA,55
OCEANIA,55
EUROPE,61
NORTH_AMERICA,56
SOUTH_AMERICA,55
PR,55
PS,55
PT,56
PW,55
PY,55
QA,55
AD,55
AE,55
AF,55
AG,55
AI,55
AL,55
AM,55
AO,55
AR,55
AS,55
AT,55
RE,55
AU,55
AW,55
AX,55
AZ,55
RO,55
BA,55
BB,55
RS,55
BD,55
BE,55
RU,55
BF,55
BG,55
RW,55
BH,55
BI,55
BJ,55
BM,55
BN,55
BO,55
SA,55
SB,55
BR,55
SC,55
BS,55
SD,55
BT,55
SE,55
SG,55
BW,55
SH,55
SI,55
BY,55
SJ,55
BZ,55
SK,55
SL,55
SM,55
SN,55
SO,55
CA,55
SR,55
CC,55
CD,55
ST,55
CF,55
SV,55
CG,55
CH,55
CI,55
SY,55
SZ,55
CK,55
CL,55
CM,55
CN,55
CO,55
CR,55
TC,55
TD,55
CU,55
CV,55
TG,55
TH,55
CX,55
CY,55
TJ,55
CZ,55
TK,55
TM,55
TN,55
TO,55
TR,55
TT,55
DE,54
TV,55
TW,55
DJ,55
TZ,55
DK,55
DM,55
DO,55
UA,55
UG,55
DZ,55
UM,55
US,56
EC,55
EE,55
EG,55
EH,54
UY,55
UZ,55
VA,55
ER,55
VC,55
ES,56
ET,55
VE,55
VG,55
VI,55
VN,55
VU,55
FI,56
FJ,55
FK,55
FM,55
FO,55
FR,55
WF,55
GA,55
GB,56
WS,55
GD,55
GE,55
GF,55
GG,55
GH,55
GI,55
GL,55
GM,55
GN,55
GP,55
GQ,55
GR,55
GT,55
GU,55
GW,55
GY,55
HK,55
HM,55
HN,55
HR,55
HT,55
YE,55
HU,55
ID,55
YT,55
IE,56
IL,55
IM,55
IN,55
IO,55
ZA,55
IR,55
IS,55
IT,56
ZM,55
JE,55
ZW,55
JM,55
JO,55
JP,55
KE,55
KG,55
KH,55
KI,55
KM,55
KN,55
KP,55
KR,55
KW,55
KY,55
KZ,55
LA,55
LB,55
LC,55
LI,55
LK,55
LR,55
LS,55
LT,55
LU,55
LV,55
LY,55
MA,55
MC,55
MD,55
ME,55
MG,55
MH,55
MK,55
ML,55
MM,55
MN,55
MO,55
MP,55
MQ,55
MR,55
MS,55
MT,55
MU,55
MV,55
MW,55
MX,55
MY,55
MZ,55
NA,55
NC,55
NE,55
NF,55
NG,55
NI,55
NL,55
NO,55
NP,55
NR,55
NU,55
NZ,55
OM,55
PA,55
PE,55
PF,55
PG,55
PH,55
PK,55
PL,55
PM,55
